"from" "A Bateman" "A Besnard" "A Breil" "A Cenci" "A Criscuolo" "A Dassouli" "A Dellagi" "A Dereeper" "A Regnault" "AMA Chifolleau" "B Boussau" "B Martret" "B Noel" "B Roure" "B Vacherie" "C Abessolo" "C Burgarella" "C Douady" "C Fizames" "C Guilhaumon" "C Scornavacca" "CP Meyer" "CW Kilpatrick" "D Baurain" "D Durand" "D Expert" "D Pot" "D Sánchez" "D Vile" "DMD Vienne" "E Bazin" "E Douzery" "E Figuet" "E Jacox" "EJP Douzery" "EJPDNLH Philippe" "EMA LGI2P" "F De Lamotte" "F Delsuc" "F Gosti" "F Zhang" "FC Baurens" "G Droc" "G Poux" "G Sarah" "G Tsagkogeorga" "GJ Szöllősi" "J Alassimone" "J Dainat" "J David" "J Melo‐Ferreira" "J Montmain" "J Romiguier" "JF Dufayard" "JH Wilson" "JL David" "JP Doyon" "JT Boehm" "JY Dutheil" "JY Yang" "K Belkhir" "K Hadj-Kaddour" "KY Gorbunov" "L Duret" "L Marquès" "M Ardisson" "M Ballenghien" "M Bonnefoy" "M Crampes" "M Tavaud" "MC SOULIE" "MF Sy" "MH Muller" "MK Tilak" "N Agudelo" "N Auberval" "N Chantret" "N Galtier" "NO Rode" "P Augereau" "P Chevret" "P Gayral" "P Leroy" "P Roumet" "PD Jenkins" "PH Fabre" "S Bocs" "S Diser" "S Gaillard" "S Gautier" "S Glémin" "S Guillemot" "S Harispe" "S Pointet" "S Pourali" "S Santoni" "SC Mills" "T Lengauer" "U Jordan" "UK Hinxton" "V Berry" "V Daubin" "V Dion" "V Lefort" "V Viader" "W Paprotny" "Y Holtz" "Y Moreau"
"A Armero" NA NA 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"A Bateman" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 NA NA NA NA NA NA NA 1
"A Besnard" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA
"A Breil" NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"A Cenci" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA
"A Chifolleau" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA
"A Criscuolo" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"A Dassouli" NA NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"A Dellagi" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"A Dereeper" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
