Cities ,Berlin,Buenos Aires,Cairo,Calcutta,Cape Town,Caracas,Chicago,Hong Kong,Honolulu,Istanbul,Lisbon,London,Los Angeles,Manila,Mexico City,Montreal,Moscow,New York,Paris,Rio de Janeiro,Rome,San Francisco,Shanghai,Stockholm,Sydney,Tokyo,Warsaw,Washington
Berlin ,,7402 ,1795 ,4368 ,5981 ,5247 ,4405,5440 ,7309 ,1078 ,1436 ,579 ,5724 ,6132,6047 ,3729 ,1004 ,3965 ,545 ,6220 ,734,5661 ,5218 ,504 ,10006 ,5540 ,320 ,4169
Buenos Aires ,7402 ,,7345 ,10265 ,4269 ,3168 ,5598,11472 ,7561 ,7611 ,5956 ,6916 ,6170 ,11051,4592 ,5615 ,8376 ,5297 ,6870 ,1200 ,6929,6467 ,12201 ,7808 ,7330 ,11408 ,7662 ,5218
Cairo ,1795 ,7345 ,,3539 ,4500 ,6338 ,6129,5061 ,8838 ,768 ,2363 ,2181 ,7520 ,5704,7688 ,5414 ,1803 ,5602 ,1995 ,6146 ,1320,7364 ,5183 ,2111 ,8952 ,5935 ,1630 ,5800
Calcutta ,4368 ,10265 ,3539 ,,6024 ,9605 ,7980,1648 ,7047 ,3638 ,5638 ,4947 ,8090 ,2203,9492 ,7607 ,3321 ,7918 ,4883 ,9377 ,4482,7814 ,2117 ,4195 ,5685 ,3194 ,4048 ,8084
Cape Town,5981 ,4269 ,4500 ,6024 ,,6365 ,8494,7375 ,11534 ,5154 ,5325 ,6012 ,9992 ,7486,8517 ,7931 ,6300 ,7764 ,5807 ,3773 ,5249,10247 ,8061 ,6444 ,6843 ,9156 ,5958 ,7901
Caracas,5247 ,3168 ,6338 ,9605 ,6365 ,,2501,10167 ,6013 ,6048 ,4041 ,4660 ,3632 ,10620,2232 ,2449 ,6173 ,2132 ,4736 ,2810 ,5196,3904 ,9501 ,5420 ,9513 ,8799 ,5517 ,2059
Chicago ,4405 ,5598 ,6129 ,7980 ,8494 ,2501 ,,7793 ,4250 ,5477 ,3990 ,3950 ,1745 ,8143,1691 ,744 ,4974 ,713 ,4134 ,5296 ,4808,1858 ,7061 ,4278 ,9272 ,6299 ,4667 ,597
Hong Kong ,5440 ,11472 ,5061 ,1648 ,7375 ,10167 ,7793,,5549 ,4984 ,6853 ,5982 ,7195 ,693,8782 ,7729 ,4439 ,8054 ,5985 ,11021 ,5768,6897 ,764 ,5113 ,4584 ,1794 ,5144 ,8147
Honolulu,7309 ,7561 ,8838 ,7047 ,11534 ,6013 ,4250,5549 ,,8109 ,7820 ,7228 ,2574 ,5299,3779 ,4910 ,7037 ,4964 ,7438 ,8285 ,8022,2393 ,4941 ,6862 ,4943 ,3853 ,7355 ,4519
Istanbul ,1078 ,7611 ,768 ,3638 ,5154 ,6048 ,5477,4984 ,8109 ,,2012 ,1552 ,6783 ,5664,7110 ,4789 ,1091 ,4975 ,1400 ,6389 ,843,6703 ,4962 ,1348 ,9294 ,5560 ,863 ,5215
