"homename"	"homecontinent"	"homecountry"	"homelat"	"homelon"	"travellon"	"travellat"
"Canadian in La La Land"	"North America"	"United States of America"	33.9300302	-118.2809933	-118.4119125	33.8872549
"Canadian in La La Land"	"North America"	"United States of America"	33.9300302	-118.2809933	-118.481	34.0221
"Canadian in La La Land"	"North America"	"United States of America"	33.9300302	-118.2809933	-118.779	34.0304
"Canadian in La La Land"	"North America"	"United States of America"	33.9300302	-118.2809933	-118.4119125	33.8872549
"Canadian in La La Land"	"North America"	"United States of America"	33.9300302	-118.2809933	-118.40527778	33.88888889
"London, England"	"Europe"	"United Kingdom"	51.5073509	-0.1277583	-1.98861111	50.69583333
"London, England"	"Europe"	"United Kingdom"	51.5073509	-0.1277583	-1.98861111	50.69583333
"London, England"	"Europe"	"United Kingdom"	51.5073509	-0.1277583	-1.98861111	50.69583333
"France "	"Europe"	"France"	46.227638	2.213749	15.25675273	-4.35305307
"Denpasar"	"Asia"	"Indonesia"	-8.6704582	115.2126293	115.12260857	-8.64933676
"Indonesia"	"Asia"	"Indonesia"	-0.789275	113.921327	106.79089277	-6.3077848
"Cuernavaca, Morelos"	"South America"	"Mexico"	18.9242095	-99.2215659	-99.7603	16.7454065
"Sanlúcar de Barrameda, España"	"Europe"	"Spain"	36.7725774	-6.3529689	-6.27567586	36.5984821
"Sanlúcar de Barrameda, España"	"Europe"	"Spain"	36.7725774	-6.3529689	-6.27567586	36.5984821
"Sanlúcar de Barrameda, España"	"Europe"	"Spain"	36.7725774	-6.3529689	-6	36.1833
"Sanlúcar de Barrameda, España"	"Europe"	"Spain"	36.7725774	-6.3529689	-6.24382553	36.58573249
"Sanlúcar de Barrameda, España"	"Europe"	"Spain"	36.7725774	-6.3529689	-6.06845	36.23449
"Sanlúcar de Barrameda, España"	"Europe"	"Spain"	36.7725774	-6.3529689	-6	36.1833
"Sanlúcar de Barrameda, España"	"Europe"	"Spain"	36.7725774	-6.3529689	-6.06845	36.23449
"Sanlúcar de Barrameda, España"	"Europe"	"Spain"	36.7725774	-6.3529689	-6.00132268	36.18308121
"Sanlúcar de Barrameda, España"	"Europe"	"Spain"	36.7725774	-6.3529689	-6.27567586	36.5984821
"Sanlúcar de Barrameda, España"	"Europe"	"Spain"	36.7725774	-6.3529689	-6	36.1833
"Sanlúcar de Barrameda, España"	"Europe"	"Spain"	36.7725774	-6.3529689	-6	36.1833
"Sanlúcar de Barrameda, España"	"Europe"	"Spain"	36.7725774	-6.3529689	-6.27567586	36.5984821
"Sanlúcar de Barrameda, España"	"Europe"	"Spain"	36.7725774	-6.3529689	-6.06845	36.23449
"Sanlúcar de Barrameda, España"	"Europe"	"Spain"	36.7725774	-6.3529689	-6	36.1833
"Sanlúcar de Barrameda, España"	"Europe"	"Spain"	36.7725774	-6.3529689	-5.9342098	36.1866684
"Sanlúcar de Barrameda, España"	"Europe"	"Spain"	36.7725774	-6.3529689	-6	36.1833
"Sanlúcar de Barrameda, España"	"Europe"	"Spain"	36.7725774	-6.3529689	-6.06845	36.23449
"Sanlúcar de Barrameda, España"	"Europe"	"Spain"	36.7725774	-6.3529689	-6.06845	36.23449
"Sanlúcar de Barrameda, España"	"Europe"	"Spain"	36.7725774	-6.3529689	-6	36.1833
"Sanlúcar de Barrameda, España"	"Europe"	"Spain"	36.7725774	-6.3529689	-6	36.1833
"Sanlúcar de Barrameda, España"	"Europe"	"Spain"	36.7725774	-6.3529689	-6.06708162	36.2268262
"Sanlúcar de Barrameda, España"	"Europe"	"Spain"	36.7725774	-6.3529689	-6.06708162	36.2268262
"Sanlúcar de Barrameda, España"	"Europe"	"Spain"	36.7725774	-6.3529689	-6	36.1833
"Sanlúcar de Barrameda, España"	"Europe"	"Spain"	36.7725774	-6.3529689	-6	36.1833
"Sanlúcar de Barrameda, España"	"Europe"	"Spain"	36.7725774	-6.3529689	-6.27567586	36.5984821
