Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
United States,10732,12515,14132,13847,11523,11216,10891,14552,15728,11568,7605,5693,4967,5670,6850,6777,7512,7866,6828,6912,8063,9087,9122,7660,9656,10048,10304,12394
Russia,,,2605,3439,1478,3889,3572,3347,2040,4264,4503,5330,5734,5171,6281,5222,5143,5528,6232,4969,6091,8568,8283,7805,5224,5608,6937,6148
Germany (FRG),1816,2482,1437,1500,2800,1465,1950,939,1808,1857,1610,895,902,1660,1126,2068,2764,3310,2380,2521,2725,1351,847,738,1774,1769,2535,1653
France,1712,1111,1185,929,851,971,1892,3230,3145,1854,1113,1457,1474,1441,2324,1842,1706,2410,2007,1929,897,1758,1035,1492,1697,2077,2278,2162
United Kingdom,1867,1523,1180,1421,1539,1475,1662,2386,1413,1368,1623,1377,1090,744,1206,1060,987,974,967,1050,1151,1025,899,1580,1645,1149,1365,1214
China,941,1315,703,1436,1111,1013,772,435,353,332,302,515,526,700,413,286,670,510,649,1140,1479,1253,1509,2006,1152,1832,2192,1131
Soviet Union,9777,5667,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,416,455,365,455,627,473,499,614,624,350,284,203,233,331,204,505,1146,1213,446,495,371,546,863,367,631,464,471,1167
Italy,206,349,248,341,208,297,291,454,426,504,208,256,478,365,263,832,553,749,422,512,537,944,747,867,683,711,670,660
Israel,85,152,324,383,296,166,286,247,229,190,404,469,574,409,609,510,406,544,349,737,655,541,461,426,399,727,1433,1263
Ukraine,,,165,82,236,167,256,558,708,732,270,511,310,307,199,292,544,631,388,414,479,569,1487,655,651,400,535,240
Spain,108,100,65,98,237,82,105,625,162,43,46,8,16,95,52,108,840,601,602,951,263,1429,546,728,1050,1163,507,814
Sweden,231,156,149,103,111,196,349,105,339,389,361,898,163,515,294,532,388,334,452,407,657,692,476,386,335,184,267,83
Switzerland,404,432,396,184,133,139,186,118,211,276,178,207,158,184,254,252,294,301,458,228,241,326,229,174,339,437,186,186
Canada,101,121,143,146,167,263,159,95,40,79,74,129,178,278,278,235,236,333,238,186,244,321,339,262,247,356,144,87
South Korea,72,118,,60,7,27,24,21,32,,10,228,,96,73,108,158,279,109,224,197,331,218,347,163,101,585,587
Belarus,,,,8,,7,129,341,63,452,293,49,63,57,19,53,43,6,224,41,159,96,65,268,68,142,152,23
Norway,85,170,75,51,64,21,4,19,3,5,3,42,92,101,66,6,17,65,118,155,159,151,172,175,164,240,150,134
